소재지도로명주소,위도,경도,관할기관명
서울특별시 종로구 우정국로 67,37.57501311,126.9824647375,종로소방서
서울특별시 종로구 우정국로 57,37.5741220304,126.9827274714,종로소방서
서울특별시 종로구 우정국로 49,37.5734313305,126.982746309,종로소방서
서울특별시 종로구 우정국로 45,37.57315711,126.9825083207,종로소방서
서울특별시 종로구 우정국로 48,37.5733498701,126.9832997648,종로소방서
서울특별시 종로구 우정국로 52,37.5735348237,126.9831621,종로소방서
서울특별시 종로구 우정국로 58-1,37.57421711,126.9831451602,종로소방서
서울특별시 종로구 인사동9길 27,37.5729741421,126.9838181,종로소방서
서울특별시 종로구 삼봉로 95,37.5723111874,126.9825683924,종로소방서
서울특별시 종로구 우정국로 38-1,37.57248111,126.9832556975,종로소방서
서울특별시 종로구 우정국로 41,37.5727095526,126.9828331,종로소방서
서울특별시 종로구 우정국로 32,37.57184373,126.9832744,종로소방서
서울특별시 종로구 우정국로 26,37.5714966636,126.9836590151,종로소방서
서울특별시 종로구 종로 47,37.5711250081,126.982438945,종로소방서
서울특별시 종로구 종로 47,37.5711250081,126.982438945,종로소방서
서울특별시 종로구 종로 47,37.5711250081,126.982438945,종로소방서
서울특별시 종로구 청계천로 93,37.5684799445,126.9881314797,종로소방서
서울특별시 종로구 삼일대로 392,37.56955232,126.9880240018,종로소방서
서울특별시 종로구 삼일대로 393,37.5696744077,126.9873906561,종로소방서
서울특별시 종로구 종로14길 9,37.5696531094,126.9870692995,종로소방서
서울특별시 종로구 삼일대로 389,37.5693569857,126.9873785978,종로소방서
서울특별시 종로구 삼일대로 385,37.5689564919,126.9873671196,종로소방서
서울특별시 종로구 삼일대로15길 13,37.56872831,126.9867389253,종로소방서
서울특별시 종로구 종로14길 32,37.5685787247,126.9867304715,종로소방서
서울특별시 종로구 청계천로 75,37.5685890877,126.9859646042,종로소방서
서울특별시 종로구 청계천로 73,37.5686393538,126.9858142,종로소방서
서울특별시 종로구 종로12길 21,37.5690835583,126.9860005071,종로소방서
서울특별시 종로구 종로14길 20,37.56905259,126.9867568667,종로소방서
서울특별시 종로구 삼일대로17길 42-8,37.5694981017,126.9852227826,종로소방서
서울특별시 종로구 종로 68,37.5698922524,126.9849474139,종로소방서
서울특별시 종로구 종로12길 14,37.56942389,126.9855843358,종로소방서
서울특별시 종로구 종로16길 22,37.56909353,126.9885837093,종로소방서
서울특별시 종로구 삼일대로 388,37.5691973041,126.9880015322,종로소방서
서울특별시 종로구 청계천로 71,37.5687834664,126.9855000215,종로소방서
서울특별시 종로구 청계천로 97,37.568411138,126.9884291882,종로소방서
서울특별시 종로구 종로8길 13,37.56948565,126.9841018207,종로소방서
서울특별시 종로구 우정국로2길 27,37.5696823993,126.984593798,종로소방서
서울특별시 종로구 삼일대로17길 52,37.5693010605,126.9845069,종로소방서
서울특별시 종로구 청계천로 63,37.5688741676,126.9845192,종로소방서
서울특별시 종로구 청계천로 55,37.5690245373,126.9838385148,종로소방서
서울특별시 종로구 청계천로 49,37.5690876864,126.9831567,종로소방서
서울특별시 종로구 우정국로 6,37.56936105,126.9832258296,종로소방서
서울특별시 종로구 인사동10길 8,37.57406311,126.9854476102,종로소방서
서울특별시 종로구 인사동14길 30,37.575302964,126.9853959688,종로소방서
서울특별시 종로구 인사동14길 11,37.57483392,126.9847863,종로소방서
서울특별시 종로구 인사동길 54,37.5748603162,126.9840031,종로소방서
서울특별시 종로구 율곡로 44-16,37.5752340157,126.9845931,종로소방서
서울특별시 종로구 인사동길 59,37.5751461954,126.9833561,종로소방서
서울특별시 종로구 인사동길 35-3,37.5735652007,126.9852741,종로소방서
서울특별시 종로구 우정국로 68,37.5749329202,126.9833159389,종로소방서
서울특별시 종로구 인사동길 51,37.5746090101,126.9839481331,종로소방서
서울특별시 종로구 인사동11길 8,37.5740079809,126.9841471,종로소방서
서울특별시 종로구 인사동길 39-1,37.57395411,126.9848632875,종로소방서
서울특별시 종로구 인사동길 27-1,37.57317111,126.9859381,종로소방서
서울특별시 종로구 인사동7길 6,37.5731706271,126.985784209,종로소방서
서울특별시 종로구 인사동7길 12,37.5730678443,126.9852192472,종로소방서
서울특별시 종로구 새문안로5가길 13,37.5732233524,126.9737829347,종로소방서
서울특별시 종로구 사직로8길 31,37.5748809503,126.9719862786,종로소방서
서울특별시 종로구 북촌로5나길 52,37.5829348605,126.9822781,종로소방서
서울특별시 종로구2길 7,37.572868691,126.9709607638,종로소방서
서울특별시 종로구 새문안로3길 21,37.5721010688,126.9725743676,종로소방서
서울특별시 종로구 새문안로5가길 7,37.5727711995,126.974038245,종로소방서
서울특별시 종로구 새문안로5가길 13,37.5732233524,126.9737829347,종로소방서
서울특별시 종로구 사직로 117,37.5762546507,126.971793429,종로소방서
서울특별시 종로구 새문안로5길 37,37.5736488068,126.9742131754,종로소방서
서울특별시 종로구 사직로 111,37.5762640275,126.9710971,종로소방서
서울특별시 종로구 사직로 114,37.57577431,126.9713499748,종로소방서
서울특별시 종로구 사직로8길 31,37.5748809503,126.9719862786,종로소방서
